                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
107,0.74065,0.54257,0.93671,0.50303,0.83444,0.60129,0.42468,0.97386,1.2218,1.0607,0.00050125,0.00050125,0.00050125
108,0.72221,0.54294,0.92401,0.5633,0.83479,0.64958,0.4522,0.97751,1.1193,1.06,0.0004965,0.0004965,0.0004965
109,0.76914,0.55584,0.93366,0.63752,0.77846,0.72417,0.52559,0.95722,0.89032,1.0401,0.00049175,0.00049175,0.00049175
110,0.75002,0.53839,0.93947,0.64827,0.73744,0.73521,0.50194,0.98747,0.88601,1.0498,0.000487,0.000487,0.000487
111,0.75968,0.52445,0.94201,0.7034,0.70815,0.76171,0.53644,0.99814,0.92012,1.0699,0.00048225,0.00048225,0.00048225
112,0.74761,0.5148,0.93192,0.65373,0.71973,0.72106,0.49463,0.99976,0.9819,1.0475,0.0004775,0.0004775,0.0004775
113,0.73006,0.49792,0.93348,0.64619,0.72912,0.6958,0.48841,0.93007,0.95573,1.02,0.00047275,0.00047275,0.00047275
114,0.73993,0.51497,0.92123,0.59986,0.81749,0.75298,0.53682,0.95065,1.0087,1.037,0.000468,0.000468,0.000468
115,0.70232,0.49791,0.92238,0.69384,0.60793,0.68508,0.48463,1.0206,1.0119,1.0679,0.00046325,0.00046325,0.00046325
116,0.72447,0.50845,0.9194,0.54078,0.76705,0.60691,0.42678,0.97252,1.0785,1.0661,0.0004585,0.0004585,0.0004585
117,0.70926,0.49818,0.92208,0.55489,0.76475,0.61695,0.44362,0.95746,1.0936,1.0474,0.00045375,0.00045375,0.00045375
118,0.72601,0.50874,0.92089,0.65461,0.75811,0.74515,0.53591,0.98801,0.94528,1.0733,0.000449,0.000449,0.000449
119,0.74409,0.51243,0.93671,0.46905,0.71483,0.55939,0.38604,1.0283,1.3607,1.1043,0.00044425,0.00044425,0.00044425
120,0.70363,0.49767,0.92417,0.64042,0.71792,0.69454,0.49739,1.0204,1.0211,1.088,0.0004395,0.0004395,0.0004395
121,0.71877,0.49902,0.93216,0.70507,0.70854,0.73114,0.51609,0.99376,0.96715,1.0467,0.00043475,0.00043475,0.00043475
122,0.71069,0.49247,0.93153,0.61204,0.75272,0.67921,0.48062,0.97665,0.95886,1.0714,0.00043,0.00043,0.00043
123,0.71181,0.5147,0.92452,0.66519,0.73205,0.71296,0.50745,1.0256,0.96305,1.0684,0.00042525,0.00042525,0.00042525
124,0.70679,0.49554,0.91883,0.54557,0.75505,0.62565,0.43463,1.0143,1.177,1.0669,0.0004205,0.0004205,0.0004205
125,0.69702,0.4951,0.9118,0.61553,0.79909,0.69967,0.48256,1.0551,1.0798,1.1137,0.00041575,0.00041575,0.00041575
126,0.71024,0.48278,0.92339,0.67273,0.71555,0.70504,0.4948,1.0215,0.89597,1.0806,0.000411,0.000411,0.000411
127,0.70584,0.49198,0.9081,0.63887,0.78513,0.69961,0.48135,1.036,0.93978,1.121,0.00040625,0.00040625,0.00040625
128,0.70147,0.49356,0.91959,0.49784,0.77449,0.58138,0.41613,1.0073,1.2411,1.0943,0.0004015,0.0004015,0.0004015
129,0.70321,0.46818,0.91619,0.61646,0.6888,0.64844,0.44015,1.0135,1.0547,1.0781,0.00039675,0.00039675,0.00039675
130,0.69318,0.47579,0.90582,0.64057,0.73493,0.65691,0.4498,1.0103,0.97368,1.093,0.000392,0.000392,0.000392
131,0.69567,0.48035,0.92685,0.70938,0.71295,0.77057,0.54545,1.069,0.88471,1.1226,0.00038725,0.00038725,0.00038725
132,0.71605,0.47546,0.9216,0.67329,0.71883,0.74045,0.50988,1.0351,0.85094,1.0777,0.0003825,0.0003825,0.0003825
133,0.7038,0.47266,0.92534,0.61129,0.75424,0.65934,0.43358,1.0699,1.1363,1.0914,0.00037775,0.00037775,0.00037775
134,0.70236,0.47548,0.91472,0.63069,0.72584,0.72514,0.5021,1.0332,1.0318,1.066,0.000373,0.000373,0.000373
135,0.6908,0.45177,0.91263,0.54461,0.81886,0.6158,0.43347,1.0088,1.0799,1.0877,0.00036825,0.00036825,0.00036825
136,0.68761,0.47072,0.91818,0.55397,0.84201,0.65601,0.47153,0.98245,1.0357,1.0646,0.0003635,0.0003635,0.0003635
137,0.68644,0.46954,0.90927,0.60385,0.67472,0.64205,0.44169,1.0305,1.0462,1.091,0.00035875,0.00035875,0.00035875
